topic,silo,entity,text,links,notes,version,active
Interest rate,LISTED STOCKS,UK,"Interest payments are available to Listed Stocks accounts with a £/$/€2,000 minimum equity or cash balance. The annual interest rates payable are variable and may change without notice. Please ensure you visit this site regularly to understand the eligibility criteria and the current rate payable.","[""https://www.tradu.com/uk/earn-interest/""]",Please note that 'cash balance' has been added.,v1,true
Interest rate,LISTED STOCKS,EU,"Interest payments are available to Listed Stocks accounts with a £/$/€2,000 minimum equity or cash balance. The annual interest rates payable are variable and may change without notice. Please ensure you visit this site regularly to understand the eligibility criteria and the current rate payable.","[""https://www.tradu.com/eu/earn-interest/""]",Please note that 'cash balance' has been added.,v1,true
Interest rate,LISTED STOCKS,ROW,"Interest payments are available to Listed Stocks accounts with a £/$/€2,000 minimum equity or cash balance. The annual interest rates payable are variable and may change without notice. Please ensure you visit this site regularly to understand the eligibility criteria and the current rate payable.","[""https://www.tradu.com/en/earn-interest/""]",Please note that 'cash balance' has been added.,v1,true
Interest rate,SB/CFD,UK,"Interest payments are available to Spread Bet/CFD accounts with a £/$/€2,000 minimum equity. The annual interest rates payable are variable and may change without notice. Please ensure you visit the site regularly to understand the eligibility criteria and the current rate payable.","[""https://www.tradu.com/uk/earn-interest/""]",,v1,true
Interest rate,SB/CFD,EU,"Interest payments are available to Spread Bet/CFD accounts with a £/$/€2,000 minimum equity. The annual interest rates payable are variable and may change without notice. Please ensure you visit the site regularly to understand the eligibility criteria and the current rate payable.","[""https://www.tradu.com/eu/earn-interest/""]",,v1,true
Interest rate,SB/CFD,ROW,"Interest payments are available to Spread Bet/CFD accounts with a £/$/€2,000 minimum equity. The annual interest rates payable are variable and may change without notice. Please ensure you visit the site regularly to understand the eligibility criteria and the current rate payable.","[""https://www.tradu.com/en/earn-interest/""]",,v1,true
Best Spread,SB/CFD,UK,Over 95% of the time in the past year compared to our top competitors.,[],,v1,true
Best Spread,SB/CFD,EU,Over 95% of the time in the past year compared to our top competitors.,[],,v1,true
Best Spread,SB/CFD,ROW,Over 95% of the time in the past year compared to our top competitors.,[],,v1,true
Best Spread,LISTED STOCKS,UK,Over 95% of the time in the past year compared to our top competitors.,[],,v1,true
